Location,Cleaned Location,Latitude,Longitude
"N 91ST ST / W GOOD HOPE RD,MKE","N 91ST ST & W GOOD HOPE RD, MILWAUKEE, WI",43.149332,-88.025157
"E LAFAYETTE PL / N PROSPECT AV,MKE","E LAFAYETTE PL & N PROSPECT AV, MILWAUKEE, WI",43.05621,-87.887489
"S LAYTON BL / W GRANT ST,MKE","S LAYTBL & W GRANT ST, MILWAUKEE, WI",43.011264,-87.958409
"7419 W HOWARD AV,MKE","7419 W HOWARD AV, MILWAUKEE, WI",42.973395,-88.00652600000002
7600 W MORGAN AV,"7600 W MORGAN AV, MILWAUKEE, WI",42.980865,-88.007809
"6011 W BRADLEY RD,MKE","6011 W BRADLEY RD, MILWAUKEE, WI",43.162726,-87.985272
"4300 W SILVER SPRING DR,MKE","4300 W SILVER SPRING DR, MILWAUKEE, WI",43.119142,-87.966288
"N 60TH ST / W GOOD HOPE RD,MKE","N 60TH ST & W GOOD HOPE RD, MILWAUKEE, WI",43.148541,-87.985427
"N 73RD ST / W SILVER SPRING DR,MKE","N 73RD ST & W SILVER SPRING DR, MILWAUKEE, WI",43.119543,-88.002213
"2800 S HOWELL AV,MKE","2800 S HOWELL AV, MILWAUKEE, WI",42.993913,-87.904297
"1800 S LAYTON BL,MKE","1800 S LAYTBL, MILWAUKEE, WI",43.011264,-87.958409
ST MARYS,"ST MARYS, MILWAUKEE, WI",43.011264,-87.958409
"N SHERMAN BL / W FLORIST AV,MKE","N SHERMAN BL & W FLORIST AV, MILWAUKEE, WI",43.011264,-87.958409
"9228 W CAPITOL DR,MKE","9228 W CAPITOL DR, MILWAUKEE, WI",43.090005,-88.028594
"3100 W CONCORDIA AV,MKE","3100 W CONCORDIA AV, MILWAUKEE, WI",43.080097,-87.95228900000002
"4230 N 27TH ST,MKE","4230 N 27TH ST, MILWAUKEE, WI",43.093295,-87.946451
"1829 W NORTH AV,MKE","1829 W NORTH AV, MILWAUKEE, WI",43.060146,-87.935959
"S 13TH ST / W MORGAN AV,MKE","S 13TH ST & W MORGAN AV, MILWAUKEE, WI",42.981054,-87.928946
"500 W EDGERTON AV,MKE","500 W EDGERTAV, MILWAUKEE, WI",43.011264,-87.958409
"7101 W GOOD HOPE RD,MKE","7101 W GOOD HOPE RD, MILWAUKEE, WI",43.146202,-87.997888
"7851 W HUSTIS ST,MKE","7851 W HUSTIS ST, MILWAUKEE, WI",43.143853,-88.00924499999998
"3172 N 14TH ST,MKE","3172 N 14TH ST, MILWAUKEE, WI",43.076506,-87.928241
"2700 W FOREST HOME AV,MKE","2700 W FOREST HOME AV, MILWAUKEE, WI",43.000652,-87.94819100000002
"1656 S MUSKEGO AV,MKE","1656 S MUSKEGO AV, MILWAUKEE, WI",43.012895,-87.936837
"8380 N 76TH ST,MKE","8380 N 76TH ST, MILWAUKEE, WI",43.169684,-88.00355400000002
"5704 W CARMEN AV,MKE","5704 W CARMEN AV, MILWAUKEE, WI",43.122788,-87.983963
"3400 N 27TH ST,MKE","3400 N 27TH ST, MILWAUKEE, WI",43.080997,-87.94718
"744 S 39TH ST,MKE","744 S 39TH ST, MILWAUKEE, WI",43.022406,-87.961928
"511 N BROADWAY,MKE","511 N BROADWAY, MILWAUKEE, WI",43.036576,-87.907901
"6132 W LISBON AV,MKE","6132 W LISBAV, MILWAUKEE, WI",43.011264,-87.958409
"1100 W HISTORIC MITCHELL ST,MKE","1100 W HISTORIC MITCHELL ST, MILWAUKEE, WI",43.012542,-87.925616
"8301 W BROWN DEER RD,MKE","8301 W BROWN DEER RD, MILWAUKEE, WI",43.177328,-88.012939
"E LOCUST ST / N MARYLAND AV,MKE","E LOCUST ST & N MARYLAND AV, MILWAUKEE, WI",43.07100000000001,-87.88297
"4951 W LLOYD ST,MKE","4951 W LLOYD ST, MILWAUKEE, WI",43.056968,-87.975321
"8111 W BROWN DEER RD,MKE","8111 W BROWN DEER RD, MILWAUKEE, WI",43.177341,-88.01104699999998
"4001 N 60TH ST,MKE","4001 N 60TH ST, MILWAUKEE, WI",43.09029,-87.987189
"1438 W ATKINSON AV,MKE","1438 W ATKINSAV, MILWAUKEE, WI",43.086738,-87.92908
"N 58TH ST / W CENTER ST,MKE","N 58TH ST & W CENTER ST, MILWAUKEE, WI",43.068021,-87.985239
"2656 S 29TH ST,MKE","2656 S 29TH ST, MILWAUKEE, WI",42.996385,-87.950197
"5200-BLK W SILVER SPRING DR,MKE","5200- W SILVER SPRING DR, MILWAUKEE, WI",43.119187,-87.977464
"2469 S 7TH ST,MKE","2469 S 7TH ST, MILWAUKEE, WI",42.999722,-87.92031
"4833 W BURLEIGH ST,MKE","4833 W BURLEIGH ST, MILWAUKEE, WI",43.074955,-87.974423
"8207 W BROWN DEER RD,MKE","8207 W BROWN DEER RD, MILWAUKEE, WI",43.176262,-88.012322
"9922 W CAPITOL DR,MKE","9922 W CAPITOL DR, MILWAUKEE, WI",43.090005,-88.037174
"2438 N 6TH ST,MKE","2438 N 6TH ST, MILWAUKEE, WI",43.063019,-87.918006
"8311 W BROWN DEER RD,MKE","8311 W BROWN DEER RD, MILWAUKEE, WI",43.177325,-88.01329100000002
"N BROADWAY / E WISCONSIN AV,MKE","N BROADWAY & E WISCONSIN AV, MILWAUKEE, WI",43.038649,-87.907826
"3008 S ELLEN ST,MKE","3008 S ELLEN ST, MILWAUKEE, WI",42.988865,-87.88680500000002
"1547 N 14TH ST,MKE","1547 N 14TH ST, MILWAUKEE, WI",43.050626,-87.93061800000002
"1617 W NORTH AV,MKE","1617 W NORTH AV, MILWAUKEE, WI",43.060174,-87.932971
"6700 W CAPITOL DR,MKE","6700 W CAPITOL DR, MILWAUKEE, WI",43.090573,-87.996321
"4348 S GRIFFIN AV,MKE","4348 S GRIFFIN AV, MILWAUKEE, WI",42.96559600000001,-87.904015
"N 46TH ST / W NORTH AV,MKE","N 46TH ST & W NORTH AV, MILWAUKEE, WI",43.059708,-87.971294
"2654 W FOND DU LAC AV,MKE","2654 W FOND DU LAC AV, MILWAUKEE, WI",43.067537,-87.946975
"3031 S 45TH ST,MKE","3031 S 45TH ST, MILWAUKEE, WI",42.989468,-87.970621
"3124 W NATIONAL AV,MKE","3124 W NATIONAL AV, MILWAUKEE, WI",43.022148,-87.953289
"N 52ND ST / W VINE ST,MKE","N 52ND ST & W VINE ST, MILWAUKEE, WI",43.055208,-87.978785
7800 N 107TH ST,"7800 N 107TH ST, MILWAUKEE, WI",43.15974600000001,-88.044455
"8500 N SERVITE DR,MKE","8500 N SERVITE DR, MILWAUKEE, WI",43.172931,-88.008133
"S 6TH ST / W WASHINGTON ST,MKE","S 6TH ST & W WASHINGTST, MILWAUKEE, WI",43.020114,-87.918278
"6924 W LISBON AV,MKE","6924 W LISBAV, MILWAUKEE, WI",43.011264,-87.958409
"2472 S 16TH ST,MKE","2472 S 16TH ST, MILWAUKEE, WI",42.999588,-87.933064
"N DOWNER AV / E WEBSTER PL,MKE","N DOWNER AVE & E WEBSTER PL, MILWAUKEE, WI",43.064901,-87.879352
"9520 W ALLYN ST,MKE","9520 W ALLYN ST, MILWAUKEE, WI",43.184132,-88.02816999999996
"N 38TH ST / W NORTH AV,MKE","N 38TH ST & W NORTH AV, MILWAUKEE, WI",43.059244,-87.96112600000002
"2545 N 6TH ST,MKE","2545 N 6TH ST, MILWAUKEE, WI",43.064944,-87.918778
"6161 N 64TH ST,MKE","6161 N 64TH ST, MILWAUKEE, WI",43.130329,-87.993263
"8400 N SERVITE DR,MKE","8400 N SERVITE DR, MILWAUKEE, WI",43.171272,-88.00649200000002
"2972 N 89TH ST,MKE","2972 N 89TH ST, MILWAUKEE, WI",43.073031,-88.023326
"1315 S 26TH ST,MKE","1315 S 26TH ST, MILWAUKEE, WI",43.017745,-87.946711
"9901 W HAMPTON AV,MKE","9901 W HAMPTAV, MILWAUKEE, WI",43.011264,-87.958409
"2918 N 89TH ST,MKE","2918 N 89TH ST, MILWAUKEE, WI",43.071936,-88.02331600000002
"1122 W GREENFIELD AV,MKE","1122 W GREENFIELD AV, MILWAUKEE, WI",43.017235,-87.926077
"3920 N 53RD ST,MKE","3920 N 53RD ST, MILWAUKEE, WI",43.088501,-87.979118
"1935 W HAMPTON AV,MKE","1935 W HAMPTAV, MILWAUKEE, WI",43.011264,-87.958409
"1055 W NORTH AV,MKE","1055 W NORTH AV, MILWAUKEE, WI",43.060215,-87.92474399999998
8202 N 107TH ST,"8202 N 107TH ST, MILWAUKEE, WI",43.16696,-88.044234
"1345 N JEFFERSON ST,MKE","1345 N JEFFERSST, MILWAUKEE, WI",43.011264,-87.958409
"S 8TH ST / W SCOTT ST,MKE","S 8TH ST & W SCOTT ST, MILWAUKEE, WI",43.019106,-87.921103
"S 27TH ST / W HAYES AV,MKE","S 27TH ST & W HAYES AV, MILWAUKEE, WI",43.00134,-87.948327
"4541 N 29TH ST,MKE","4541 N 29TH ST, MILWAUKEE, WI",43.099891,-87.94944699999998
"4136 N 14TH ST,MKE","4136 N 14TH ST, MILWAUKEE, WI",43.092178,-87.927813
"717 E PEARSON ST,MKE","717 E PEARSST, MILWAUKEE, WI",43.011264,-87.958409
"2669 N 44TH ST,MKE","2669 N 44TH ST, MILWAUKEE, WI",43.067532,-87.969039
"3740 N SHERMAN BL,MKE","3740 N SHERMAN BL, MILWAUKEE, WI",43.085209000000006,-87.966538
"N 10TH ST / W WELLS ST,MKE","N 10TH ST & W WELLS ST, MILWAUKEE, WI",43.04022,-87.92440400000002
"152 E GAUER CR,MKE","152 E GAUER CR, MILWAUKEE, WI",42.989719,-87.908473
"W KINNICKINNIC RIVER PK / S 32ND ST,MKE","W KINNICKINNIC RIVER PK & S 32ND ST, MILWAUKEE, WI",42.992181,-87.88760500000002
"5942 N LOVERS LANE RD,MKE","5942 N LOVERS LANE RD, MILWAUKEE, WI",43.125617,-88.055102
"10504 W CALUMET RD,MKE","10504 W CALUMET RD, MILWAUKEE, WI",43.15597800000001,-88.042342
"S 70TH ST / W KEARNEY ST,MKE","S 70TH ST & W KEARNEY ST, MILWAUKEE, WI",43.029544,-87.99976099999998
"1333 S LAYTON BL,MKE","1333 S LAYTBL, MILWAUKEE, WI",43.011264,-87.958409
"4965 S 20TH ST,MKE","4965 S 20TH ST, MILWAUKEE, WI",42.953666,-87.940685
"W TOWNSEND ST / W FOND DU LAC AV,MKE","W TOWNSEND ST & W FOND DU LAC AV, MILWAUKEE, WI",43.081106,-87.96497
"3410 N MARYLAND AV,MKE","3410 N MARYLAND AV, MILWAUKEE, WI",43.079561,-87.882648
"N 47TH ST / W GARFIELD AV,MKE","N 47TH ST & W GARFIELD AV, MILWAUKEE, WI",43.05926,-87.972427
"S 9TH ST / W BURNHAM ST,MKE","S 9TH ST & W BURNHAM ST, MILWAUKEE, WI",43.010162,-87.922777
"2766 N 35TH ST,MKE","2766 N 35TH ST, MILWAUKEE, WI",43.069384,-87.956968
"8714 W CAPITOL DR,MKE","8714 W CAPITOL DR, MILWAUKEE, WI",43.090074,-88.02186
"8110 W BROWN DEER RD,MKE","8110 W BROWN DEER RD, MILWAUKEE, WI",43.180918,-88.01155200000002
"1975 W HAMPTON AV,MKE","1975 W HAMPTAV, MILWAUKEE, WI",43.011264,-87.958409
"N 60TH ST / W CARMEN AV,MKE","N 60TH ST & W CARMEN AV, MILWAUKEE, WI",43.122529,-87.986021
"1333 N FRANKLIN PL,MKE","1333 N FRANKLIN PL, MILWAUKEE, WI",43.047665,-87.897312
"8914 N 96TH ST,MKE","8914 N 96TH ST, MILWAUKEE, WI",43.1803,-88.031042
"N 11TH ST / W HIGHLAND AV,MKE","N 11TH ST & W HIGHLAND AV, MILWAUKEE, WI",43.044378,-87.925575
"4679 N 39TH ST,MKE","4679 N 39TH ST, MILWAUKEE, WI",43.10241,-87.96179599999998
"1533 N 23RD ST,MKE","1533 N 23RD ST, MILWAUKEE, WI",43.050814,-87.941751
"2249 N 41ST ST,MKE","2249 N 41ST ST, MILWAUKEE, WI",43.059916,-87.964807
"1834 W HAMPTON AV,MKE","1834 W HAMPTAV, MILWAUKEE, WI",43.011264,-87.958409
"522 E LOCUST ST,MKE","522 E LOCUST ST, MILWAUKEE, WI",43.071317,-87.904443
"S 9TH ST / W GREENFIELD AV,MKE","S 9TH ST & W GREENFIELD AV, MILWAUKEE, WI",43.01704,-87.922524
"6962 N 77TH CT,MKE","6962 N 77TH CT, MILWAUKEE, WI",43.144873,-88.006742
"1320 N 38TH ST,MKE","1320 N 38TH ST, MILWAUKEE, WI",43.047598,-87.960753
"3216 N MARTIN L KING JR DR,MKE","3216 N DOCTOR M.L.K. DR, MILWAUKEE, WI",43.011264,-87.958409
"2802 W HOWARD AV,MKE","2802 W HOWARD AV, MILWAUKEE, WI",42.974553,-87.950685
"8424 W FLORIST AV,MKE","8424 W FLORIST AV, MILWAUKEE, WI",43.127186,-88.017247
"1542 S 15TH PL,MKE","1542 S 15TH PL, MILWAUKEE, WI",43.01503,-87.93154100000002
"2672 N 29TH ST,MKE","2672 N 29TH ST, MILWAUKEE, WI",43.06741,-87.949735
"1132 S 12TH ST,MKE","1132 S 12TH ST, MILWAUKEE, WI",43.003841,-87.927093
"2047 N 11TH ST,MKE","2047 N 11TH ST, MILWAUKEE, WI",43.057157,-87.925724
"1729 W HAMPTON AV,MKE","1729 W HAMPTAV, MILWAUKEE, WI",43.011264,-87.958409
"3100 S 20TH ST,MKE","3100 S 20TH ST, MILWAUKEE, WI",42.988549,-87.93850400000002
"700 W VIRGINIA ST,MKE","700 W VIRGINIA ST, MILWAUKEE, WI",43.026816,-87.919933
"3100 S 26TH ST,MKE","3100 S 26TH ST, MILWAUKEE, WI",42.988696,-87.94708299999998
"3258 N 52ND ST,MKE","3258 N 52ND ST, MILWAUKEE, WI",43.078408,-87.978075
"2114 W VAN BECK AV,MKE","2114 W VAN BECK AV, MILWAUKEE, WI",42.973249,-87.941645
"6325 W CHAMBERS ST,MKE","6325 W CHAMBERS ST, MILWAUKEE, WI",43.07328,-87.991522
"6824 W MILL RD,MKE","6824 W MILL RD, MILWAUKEE, WI",43.134381,-87.996899
"8600 N SERVITE DR,MKE","8600 N SERVITE DR, MILWAUKEE, WI",43.174738,-88.009214
"960 W ARMOUR AV,MKE","960 W ARMOUR AV, MILWAUKEE, WI",42.961995,-87.92520999999998
"N 3RD ST / W KEEFE AV,MKE","N 3RD ST & W KEEFE AV, MILWAUKEE, WI",43.08208,-87.913758
"2600 W MORGAN AV,MKE","2600 W MORGAN AV, MILWAUKEE, WI",42.981098,-87.947024
"8250 N 107TH ST,MKE","8250 N 107TH ST, MILWAUKEE, WI",43.167771,-88.044223
"935 W GREENFIELD AV,MKE","935 W GREENFIELD AV, MILWAUKEE, WI",43.016848,-87.92355500000002
"8430 W CAPITOL DR,MKE","8430 W CAPITOL DR, MILWAUKEE, WI",43.090117,-88.01854200000002
"8100 W BROWN DEER RD,MKE","8100 W BROWN DEER RD, MILWAUKEE, WI",43.178418,-88.011015
"6880 N TEUTONIA AV,MKE","6880 N TEUTONIA AV, MILWAUKEE, WI",43.142386,-87.954695
"5064 N 39TH ST,MKE","5064 N 39TH ST, MILWAUKEE, WI",43.109697,-87.961035
"1535 N 35TH ST,MKE","1535 N 35TH ST, MILWAUKEE, WI",43.050797,-87.958513
"2037 N 32ND ST,MKE","2037 N 32ND ST, MILWAUKEE, WI",43.057263,-87.954239
"5121 W HOWARD AV,MKE","5121 W HOWARD AV, MILWAUKEE, WI",42.973412,-87.978689
"1929 N 37TH ST,MKE","1929 N 37TH ST, MILWAUKEE, WI",43.055591,-87.960233
"452 S 68TH ST,MKE","452 S 68TH ST, MILWAUKEE, WI",43.027266,-87.996957
"N 51ST ST / W HADLEY ST,MKE","N 51ST ST & W HADLEY ST, MILWAUKEE, WI",43.069786,-87.977441
"9700 W VERA AV,MKE","9700 W VERA AV, MILWAUKEE, WI",43.145149,-88.032878
"1123 N WATER ST,MKE","1123 N WATER ST, MILWAUKEE, WI",43.045126,-87.911402
"2326 N 12TH ST,MKE","2326 N 12TH ST, MILWAUKEE, WI",43.061023,-87.9264
"1803 N 47TH ST,MKE","1803 N 47TH ST, MILWAUKEE, WI",43.054327,-87.972697
"1943 W HAMPTON AV,MKE","1943 W HAMPTAV, MILWAUKEE, WI",43.011264,-87.958409
"2929 S CHASE AV,MKE","2929 S CHASE AV, MILWAUKEE, WI",42.991976,-87.911115
"300 E WISCONSIN AV,MKE","300 E WISCONSIN AV, MILWAUKEE, WI",43.038999,-87.907363
"2433 W MICHIGAN ST,MKE","2433 W MICHIGAN ST, MILWAUKEE, WI",43.03712700000001,-87.943876
"S 60TH ST / W COLD SPRING RD,MKE","S 60TH ST & W COLD SPRING RD, MILWAUKEE, WI",42.992043,-87.987707
"1438 N 33RD ST,MKE","1438 N 33RD ST, MILWAUKEE, WI",43.049555,-87.954862
"1200 W CAPITOL DR,MKE","1200 W CAPITOL DR, MILWAUKEE, WI",43.089222,-87.925852
"2040 W OKLAHOMA AV,MKE","2040 W OKLAHOMA AV, MILWAUKEE, WI",42.989399,-87.939435
"1733 W HAMPTON AV,MKE","1733 W HAMPTAV, MILWAUKEE, WI",43.011264,-87.958409
"3925 W OKLAHOMA AV,MKE","3925 W OKLAHOMA AV, MILWAUKEE, WI",42.988079,-87.963757
"1600 W ATKINSON AV,MKE","1600 W ATKINSAV, MILWAUKEE, WI",43.087007,-87.93084300000002
"1600-BLK S 12TH ST,MKE","1600- S 12TH ST, MILWAUKEE, WI",43.014335,-87.926857
"907 W GREENFIELD AV,MKE","907 W GREENFIELD AV, MILWAUKEE, WI",43.016726,-87.922865
"2638 N 34TH ST,MKE","2638 N 34TH ST, MILWAUKEE, WI",43.066969,-87.955866
"813 S 18TH ST,MKE","813 S 18TH ST, MILWAUKEE, WI",43.022437,-87.935753
"6360 N 91ST ST,MKE","6360 N 91ST ST, MILWAUKEE, WI",43.13347,-88.024828
"1100 W CAPITOL DR,MKE","1100 W CAPITOL DR, MILWAUKEE, WI",43.089212,-87.924612
"4217 N 100TH ST,MKE","4217 N 100TH ST, MILWAUKEE, WI",43.093612,-88.03783100000004
"2912 N 23RD ST,MKE","2912 N 23RD ST, MILWAUKEE, WI",43.071796,-87.940709
"1335 S 10TH ST,MKE","1335 S 10TH ST, MILWAUKEE, WI",43.017321,-87.924087
"2463 N BUFFUM ST,MKE","2463 N BUFFUM ST, MILWAUKEE, WI",43.062956,-87.90712099999998
"3240 S 26TH ST,MKE","3240 S 26TH ST, MILWAUKEE, WI",42.985705,-87.946546
"3421 W WELLS ST,MKE","3421 W WELLS ST, MILWAUKEE, WI",43.040148,-87.956604
"1400 S 11TH ST,MKE","1400 S 11TH ST, MILWAUKEE, WI",43.01686,-87.924978
"2413 N 44TH ST,MKE","2413 N 44TH ST, MILWAUKEE, WI",43.062785,-87.969098
"5300 W FOREST HOME AV,MKE","5300 W FOREST HOME AV, MILWAUKEE, WI",42.981003,-87.980858
"1305 W GREENFIELD AV,MKE","1305 W GREENFIELD AV, MILWAUKEE, WI",43.016835,-87.928138
"3405 N 10TH ST,MKE","3405 N 10TH ST, MILWAUKEE, WI",43.080342,-87.923893
"1865 W HAMPTON AV,MKE","1865 W HAMPTAV, MILWAUKEE, WI",43.011264,-87.958409
"7373 N 100TH ST,MKE","7373 N 100TH ST, MILWAUKEE, WI",43.15185,-88.037056
"742 W CAPITOL DR,MKE","742 W CAPITOL DR, MILWAUKEE, WI",43.089818,-87.920407
"W SILVER SPRING DR / N HOPKINS ST,MKE","W SILVER SPRING DR & N HOPKINS ST, MILWAUKEE, WI",43.11854500000001,-87.965986
"3054 N 88TH ST,MKE","3054 N 88TH ST, MILWAUKEE, WI",43.07452,-88.022097
"N 53RD ST / W CAPITOL DR,MKE","N 53RD ST & W CAPITOL DR, MILWAUKEE, WI",43.0899,-87.979519
"914 W CLARKE ST,MKE","914 W CLARKE ST, MILWAUKEE, WI",43.066004,-87.923112
"1802 W BECHER ST,MKE","1802 W BECHER ST, MILWAUKEE, WI",43.00708,-87.93598
"N 91ST ST / W CONGRESS ST,MKE","N 91ST ST & W CONGRESS ST, MILWAUKEE, WI",43.097906,-88.02633
"606 W VLIET ST,MKE","606 W VLIET ST, MILWAUKEE, WI",43.050575,-87.921401
"800 E WISCONSIN AV,MKE","800 E WISCONSIN AV, MILWAUKEE, WI",43.039732,-87.900906
"4432 W OKLAHOMA AV,MKE","4432 W OKLAHOMA AV, MILWAUKEE, WI",42.988644,-87.970111
"549 W RING ST,MKE","549 W RING ST, MILWAUKEE, WI",43.077355,-87.918315
"7500 W NORTHRIDGE LAKES BL,MKE","7500 W NORTHRIDGE LAKES BL, MILWAUKEE, WI",43.184751,-88.003454
"S 68TH ST / W FOREST HOME AV,MKE","S 68TH ST & W FOREST HOME AV, MILWAUKEE, WI",42.970472,-87.99808
"4215 N 100TH ST,MKE","4215 N 100TH ST, MILWAUKEE, WI",43.093118,-88.0399
"101 W CAPITOL DR,MKE","101 W CAPITOL DR, MILWAUKEE, WI",43.088767,-87.911077
"1957 W HAMPTON AV,MKE","1957 W HAMPTAV, MILWAUKEE, WI",43.011264,-87.958409
"3215 W STATE ST,MKE","3215 W STATE ST, MILWAUKEE, WI",43.042105,-87.95415600000004
"2513 S 29TH ST,MKE","2513 S 29TH ST, MILWAUKEE, WI",42.999158,-87.950738
"789 N WATER ST,MKE","789 N WATER ST, MILWAUKEE, WI",43.040638,-87.909841
"N 76TH ST / W FLORIST AV,MKE","N 76TH ST & W FLORIST AV, MILWAUKEE, WI",43.126867,-88.005955
"2243 S ALDRICH ST,MKE","2243 S ALDRICH ST, MILWAUKEE, WI",43.00363,-87.899439
"2104 W NATIONAL AV,MKE","2104 W NATIONAL AV, MILWAUKEE, WI",43.02295,-87.9397
"5726 W OKLAHOMA AV,MKE","5726 W OKLAHOMA AV, MILWAUKEE, WI",42.988736,-87.986204
"N 60TH ST / W BURLEIGH ST,MKE","N 60TH ST & W BURLEIGH ST, MILWAUKEE, WI",43.073512,-87.987358
"7301 W NASH ST,MKE","7301 W NASH ST, MILWAUKEE, WI",43.079703,-88.00108900000002
"2200 S 13TH ST,MKE","2200 S 13TH ST, MILWAUKEE, WI",43.004322,-87.92797900000002
"N 42ND ST / W NEWTON PL,MKE","N 42ND ST & W NEWTPL, MILWAUKEE, WI",43.102569,-87.964934
"5500 S HOWELL AV,MKE","5500 S HOWELL AV, MILWAUKEE, WI",42.946887,-87.897159
"1940 N 34TH ST,MKE","1940 N 34TH ST, MILWAUKEE, WI",43.056098,-87.955951
"1737 N 20TH ST,MKE","1737 N 20TH ST, MILWAUKEE, WI",43.053567,-87.937969
"S 7TH ST / W HISTORIC MITCHELL ST,MKE","S 7TH ST & W HISTORIC MITCHELL ST, MILWAUKEE, WI",43.012298,-87.919874
"2969 S HOWELL AV,MKE","2969 S HOWELL AV, MILWAUKEE, WI",42.99087700000001,-87.90556
ALLIANCE SCHOOL,"ALLIANCE SCHOOL, MILWAUKEE, WI",43.011264,-87.958409
"5172 S 13TH ST,MKE","5172 S 13TH ST, MILWAUKEE, WI",42.950939,-87.927548
"11335 W CARMEN AV,MKE","11335 W CARMEN AV, MILWAUKEE, WI",43.123002,-88.05390200000002
"N 20TH ST / W JUNEAU AV,MKE","N 20TH ST & W JUNEAU AV, MILWAUKEE, WI",43.044342,-87.937828
"4243 S 20TH ST,MKE","4243 S 20TH ST, MILWAUKEE, WI",42.967988,-87.939233
"4874 N 91ST ST,MKE","4874 N 91ST ST, MILWAUKEE, WI",43.106613,-88.02556700000002
"N 35TH ST / W JUNEAU AV,MKE","N 35TH ST & W JUNEAU AV, MILWAUKEE, WI",43.045887,-87.957663
"N PALMER ST / E VINE ST,MKE","N PALMER ST & E VINE ST, MILWAUKEE, WI",43.086643,-87.909726
"4226 S 4TH ST,MKE","4226 S 4TH ST, MILWAUKEE, WI",42.967652,-87.915338
"1418 W MITCHELL ST,MKE","1418 W MITCHELL ST, MILWAUKEE, WI",43.012566,-87.929998
"1801 W GREENFIELD AV,MKE","1801 W GREENFIELD AV, MILWAUKEE, WI",43.016839,-87.935556
"N 78TH ST / W FLORIST AV,MKE","N 78TH ST & W FLORIST AV, MILWAUKEE, WI",43.126359,-88.00853599999998
"6201 W KEEFE AVENUE PK,MKE","6201 W KEEFE AVENUE PK, MILWAUKEE, WI",43.082271,-87.98984499999996
"509 W CENTER ST,MKE","509 W CENTER ST, MILWAUKEE, WI",43.067424,-87.917096
"S 15TH ST / W LAPHAM BL,MKE","S 15TH ST & W LAPHAM BL, MILWAUKEE, WI",43.001311,-87.931397
"3141 S 60TH ST,MKE","3141 S 60TH ST, MILWAUKEE, WI",42.987972,-87.987945
"7303 W WEDGEWOOD DR,MKE","7303 W WEDGEWOOD DR, MILWAUKEE, WI",42.97766,-88.003857
"1146 S LAYTON BL,MKE","1146 S LAYTBL, MILWAUKEE, WI",43.011264,-87.958409
"2934 N SHEPARD AV,MKE","2934 N SHEPARD AV, MILWAUKEE, WI",43.071731,-87.87409
"3218 N 26TH ST,MKE","3218 N 26TH ST, MILWAUKEE, WI",43.077432,-87.945574
"732 N 22ND ST,MKE","732 N 22ND ST, MILWAUKEE, WI",43.039194,-87.94035500000004
"7222 N TEUTONIA AV,MKE","7222 N TEUTONIA AV, MILWAUKEE, WI",43.14895300000001,-87.956091
"7965 N 76TH ST,MKE","7965 N 76TH ST, MILWAUKEE, WI",43.162873,-88.005306
"1028 S 9TH ST,MKE","1028 S 9TH ST, MILWAUKEE, WI",43.020618,-87.921716
"7706 W CONGRESS ST,MKE","7706 W CONGRESS ST, MILWAUKEE, WI",43.097481,-88.008639
"701 W HOWARD AV,MKE","701 W HOWARD AV, MILWAUKEE, WI",42.97362,-87.92133299999998
"1526 W MINERAL ST,MKE","1526 W MINERAL ST, MILWAUKEE, WI",43.021453,-87.931347
"8021 W BURLEIGH ST,MKE","8021 W BURLEIGH ST, MILWAUKEE, WI",43.074931,-88.012997
"3334 W HIGHLAND BL,MKE","3334 W HIGHLAND BL, MILWAUKEE, WI",43.044986,-87.956388
"2482 S 11TH ST,MKE","2482 S 11TH ST, MILWAUKEE, WI",42.999475,-87.92568100000004
"N FARWELL AV / E ALBION ST,MKE","N FARWELL AVE & E ALBIST, MILWAUKEE, WI",43.06491,-87.881959
"1002 W BECHER ST,MKE","1002 W BECHER ST, MILWAUKEE, WI",43.006615,-87.92482700000002
"5801 S 27TH ST,MKE","5801 S 27TH ST, MILWAUKEE, WI",42.938617,-87.949747
"1320 W HOWARD AV,MKE","1320 W HOWARD AV, MILWAUKEE, WI",42.974093,-87.92976800000002
"3701 N 2ND ST,MKE","3701 N 2ND ST, MILWAUKEE, WI",43.084011,-87.912335
"2351 N SHERMAN BL,MKE","2351 N SHERMAN BL, MILWAUKEE, WI",43.06175,-87.967943
"349 E MONTANA ST,MKE","349 E MONTANA ST, MILWAUKEE, WI",42.993871,-87.905235
"2871 S 43RD ST,MKE","2871 S 43RD ST, MILWAUKEE, WI",42.992262,-87.968165
"1737 N PALMER ST,MKE","1737 N PALMER ST, MILWAUKEE, WI",43.053362,-87.910112
"4273 S 20TH ST,MKE","4273 S 20TH ST, MILWAUKEE, WI",42.967235,-87.939534
"8924 W CARMEN AV,MKE","8924 W CARMEN AV, MILWAUKEE, WI",43.123736,-88.02386700000002
"370 E CAPITOL DR,MKE","370 E CAPITOL DR, MILWAUKEE, WI",43.090339,-87.90594399999998
"7600 W CAPITOL DR,MKE","7600 W CAPITOL DR, MILWAUKEE, WI",43.090732,-88.00833100000001
"830 E CHAMBERS ST,MKE","830 E CHAMBERS ST, MILWAUKEE, WI",43.073065,-87.900475
"5074 N 84TH ST,MKE","5074 N 84TH ST, MILWAUKEE, WI",43.110246,-88.015474
