,ID,Call Number,Date/Time,Location,Police District,Nature of Call,Status,Cleaned_Location,Coordinates,Error_Logging
579,182560589-Assignment Completed,182560589,2018-09-13 07:32:10,"2333 N 49TH ST,MKE",3,OUT OF SERVICE,Assignment Completed,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
580,182560572-Advised,182560572,2018-09-13 07:22:53,"6924 W LISBON AV,MKE",7,SPECIAL ASSIGN,Advised,"6924 W LISBAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
581,182560539-Advised,182560539,2018-09-13 07:18:42,"3031 S 45TH ST,MKE",6,FAMILY TROUBLE,Advised,"3031 S 45TH ST,MILWAUKEE","{'lat': 42.989468, 'lng': -87.970621}",
582,182560536-Assignment Completed,182560536,2018-09-13 06:58:06,"2920 N 4TH ST,MKE",5,REPORTS,Assignment Completed,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
583,182560526-Advised/Referral,182560526,2018-09-13 06:54:53,"2438 N 6TH ST,MKE",5,CALL FOR POLICE,Advised/Referral,"2438 N 6TH ST,MILWAUKEE","{'lat': 43.063019, 'lng': -87.918006}",
584,182560508-Advised,182560508,2018-09-13 06:37:00,"N 10TH ST / W WALNUT ST,MKE",5,TRAFFIC HAZARD,Advised,"N 10TH ST & W WALNUT ST,MILWAUKEE","{'lat': 43.050784, 'lng': -87.924318}",
585,182560600-Assignment Completed,182560600,2018-09-13 07:36:57,"6161 N 64TH ST,MKE",4,BUS INVESTIGATIO,Assignment Completed,"6161 N 64TH ST,MILWAUKEE","{'lat': 43.130329, 'lng': -87.993263}",
586,182560599-Advised,182560599,2018-09-13 07:36:53,"8400 N SERVITE DR,MKE",4,TRAFFIC STOP,Advised,"8400 N SERVITE DR,MILWAUKEE","{'lat': 43.171272, 'lng': -88.006492}",
587,182560544-Assignment Completed,182560544,2018-09-13 07:04:24,"1547 N 14TH ST,MKE",3,SPECIAL ASSIGN,Assignment Completed,"1547 N 14TH ST,MILWAUKEE","{'lat': 43.050626, 'lng': -87.930618}",
588,182560532-Assignment Completed,182560532,2018-09-13 06:57:15,"N BROADWAY / E WISCONSIN AV,MKE",1,INJ PERSON/SICK,Assignment Completed,"N BROADWAY & E WISCONSIN AV,MILWAUKEE","{'lat': 43.038649, 'lng': -87.907826}",
589,182560568-Advised,182560568,2018-09-13 07:44:17,"2972 N 89TH ST,MKE",7,ENTRY AUTOS,Advised,"2972 N 89TH ST,MILWAUKEE","{'lat': 43.073031, 'lng': -88.023326}",
590,182560595-Service in Progress,182560595,2018-09-13 07:43:41,"1315 S 26TH ST,MKE",2,ENTRY AUTOS,Service in Progress,"1315 S 26TH ST,MILWAUKEE","{'lat': 43.017745, 'lng': -87.946711}",
591,182560602-Service in Progress,182560602,2018-09-13 07:42:38,"9901 W HAMPTON AV,MKE",4,ACC UNKN INJ,Service in Progress,"9901 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
592,182560590-Advised,182560590,2018-09-13 07:33:14,"2545 N 6TH ST,MKE",5,CALL FOR POLICE,Advised,"2545 N 6TH ST,MILWAUKEE","{'lat': 43.064944, 'lng': -87.918778}",
593,182560561-Advised,182560561,2018-09-13 07:48:34,"2918 N 89TH ST,MKE",7,ENTRY AUTOS,Advised,"2918 N 89TH ST,MILWAUKEE","{'lat': 43.071936, 'lng': -88.023316}",
594,182560612-Service in Progress,182560612,2018-09-13 07:47:23,"1122 W GREENFIELD AV,MKE",2,SUBJ WITH WEAPON,Service in Progress,"1122 W GREENFIELD AV,MILWAUKEE","{'lat': 43.017235, 'lng': -87.926077}",
595,182560620-Service in Progress,182560620,2018-09-13 07:46:43,"2920 N 4TH ST,MKE",5,ACC PDO,Service in Progress,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
596,182560615-Assignment Completed,182560615,2018-09-13 07:45:33,"4715 W VLIET ST,MKE",3,POLICE ADMIN,Assignment Completed,"4715 W VLIET ST,MILWAUKEE","{'lat': 43.048316, 'lng': -87.973303}",
597,182560603-Service in Progress,182560603,2018-09-13 07:54:53,"3920 N 53RD ST,MKE",7,SUSP PERS/AUTO,Service in Progress,"3920 N 53RD ST,MILWAUKEE","{'lat': 43.088501, 'lng': -87.979118}",
598,182560630-City Citation(s) Issued,182560630,2018-09-13 07:52:27,"8500 N SERVITE DR,MKE",4,TRAFFIC STOP,City Citation(s) Issued,"8500 N SERVITE DR,MILWAUKEE","{'lat': 43.172931, 'lng': -88.008133}",
599,182560629-Advised,182560629,2018-09-13 07:52:19,"1935 W HAMPTON AV,MKE",7,TRAFFIC STOP,Advised,"1935 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
600,182560627-Advised,182560627,2018-09-13 07:51:09,"1055 W NORTH AV,MKE",3,TRAFFIC STOP,Advised,"1055 W NORTH AV,MILWAUKEE","{'lat': 43.060215, 'lng': -87.924744}",
601,182560626-Service in Progress,182560626,2018-09-13 07:50:53,"749 W STATE ST,MKE",1,MAIL RUN,Service in Progress,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
602,182560620-To be Filed,182560620,2018-09-13 07:46:43,"2920 N 4TH ST,MKE",5,ACC PDO,To be Filed,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
603,182560595-To be Filed,182560595,2018-09-13 07:43:41,"1315 S 26TH ST,MKE",2,ENTRY AUTOS,To be Filed,"1315 S 26TH ST,MILWAUKEE","{'lat': 43.017745, 'lng': -87.946711}",
604,182560593-Assignment Completed,182560593,2018-09-13 07:34:59,"245 W LINCOLN AV,MKE",2,OUT OF SERVICE,Assignment Completed,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
605,182560591-To be Filed,182560591,2018-09-13 07:33:57,"N 38TH ST / W NORTH AV,MKE",3,ACC PI,To be Filed,"N 38TH ST & W NORTH AV,MILWAUKEE","{'lat': 43.059244, 'lng': -87.961126}",
606,182560636-To be Filed,182560636,2018-09-13 07:56:15,8202 N 107TH ST,SPD,TRAFFIC STOP,To be Filed,"8202 N 107TH ST, MILWAUKEE","{'lat': 43.16696, 'lng': -88.044234}",
607,182560635-Assignment Completed,182560635,2018-09-13 07:55:59,"1345 N JEFFERSON ST,MKE",1,BUSINESS CHECK,Assignment Completed,"1345 N JEFFERSST,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
608,182560612-Advised,182560612,2018-09-13 07:47:23,"1122 W GREENFIELD AV,MKE",2,TRBL W/SUBJ,Advised,"1122 W GREENFIELD AV,MILWAUKEE","{'lat': 43.017235, 'lng': -87.926077}",
609,182560638-Service in Progress,182560638,2018-09-13 08:04:33,"S 8TH ST / W SCOTT ST,MKE",2,ACC PI,Service in Progress,"S 8TH ST & W SCOTT ST,MILWAUKEE","{'lat': 43.019106, 'lng': -87.921103}",
610,182560646-Service in Progress,182560646,2018-09-13 08:04:27,"2920 N 4TH ST,MKE",5,SPECIAL ASSIGN,Service in Progress,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
611,182560607-Service in Progress,182560607,2018-09-13 08:04:25,"S 27TH ST / W HAYES AV,MKE",2,ASSIST OFFICER,Service in Progress,"S 27TH ST & W HAYES AV,MILWAUKEE","{'lat': 43.001342, 'lng': -87.948171}",
612,182560641-Service in Progress,182560641,2018-09-13 08:03:57,"4541 N 29TH ST,MKE",5,ANIMAL BITE,Service in Progress,"4541 N 29TH ST,MILWAUKEE","{'lat': 43.099891, 'lng': -87.949447}",
613,182560644-Service in Progress,182560644,2018-09-13 08:02:37,"245 W LINCOLN AV,MKE",2,PRISONER TRANS,Service in Progress,"245 W LINCOLN AV,MILWAUKEE","{'lat': 43.002354, 'lng': -87.913504}",
614,182560619-Service in Progress,182560619,2018-09-13 08:01:14,"4136 N 14TH ST,MKE",5,SUBJ WITH WEAPON,Service in Progress,"4136 N 14TH ST,MILWAUKEE","{'lat': 43.092178, 'lng': -87.927813}",
615,182560642-Assignment Completed,182560642,2018-09-13 08:00:45,"717 E PEARSON ST,MKE",1,FOLLOW UP,Assignment Completed,"717 E PEARSST,MILWAUKEE","{'lat': 43.082018, 'lng': -87.889534}",
616,182560603-Unable to Locate Complainant,182560603,2018-09-13 07:54:53,"3920 N 53RD ST,MKE",7,SUSP PERS/AUTO,Unable to Locate Complainant,"3920 N 53RD ST,MILWAUKEE","{'lat': 43.088501, 'lng': -87.979118}",
617,182560571-Assignment Completed,182560571,2018-09-13 07:23:30,"S 6TH ST / W WASHINGTON ST,MKE",2,TRAFFIC HAZARD,Assignment Completed,"S 6TH ST & W WASHINGTST,MILWAUKEE",,"{'input': {'address_components': {'city': 'Milwaukee', 'state': 'WA', 'country': 'US'}, 'formatted_address': 'Milwaukee, WA'}, 'results': []}"
618,182560658-Service in Progress,182560658,2018-09-13 08:09:39,"949 N 9TH ST,MKE",1,COURT DUTY,Service in Progress,"949 N 9TH ST,MILWAUKEE","{'lat': 43.041733, 'lng': -87.923662}",
619,182560657-Service in Progress,182560657,2018-09-13 08:09:13,"949 N 9TH ST,MKE",1,COURT DUTY,Service in Progress,"949 N 9TH ST,MILWAUKEE","{'lat': 43.041733, 'lng': -87.923662}",
620,182560579-Service in Progress,182560579,2018-09-13 08:08:51,"2669 N 44TH ST,MKE",3,FAMILY TROUBL-DV,Service in Progress,"2669 N 44TH ST,MILWAUKEE","{'lat': 43.067532, 'lng': -87.969039}",
621,182560496-Service in Progress,182560496,2018-09-13 08:08:16,"2841 W HIGHLAND BL,MKE",3,TRBL W/JUV,Service in Progress,"2841 W HIGHLAND BL,MILWAUKEE","{'lat': 43.044152, 'lng': -87.950158}",
622,182560655-Assignment Completed,182560655,2018-09-13 08:08:06,"1935 W HAMPTON AV,MKE",7,NON PURSUIT NO P,Assignment Completed,"1935 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
623,182560654-Service in Progress,182560654,2018-09-13 08:08:02,"3626 W FOND DU LAC AV,MKE",7,REPORTS,Service in Progress,"3626 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.077239, 'lng': -87.959228}",
624,182560653-Service in Progress,182560653,2018-09-13 08:07:35,"951 N JAMES LOVELL ST,MKE",1,COURT DUTY,Service in Progress,"951 N JAMES LOVELL ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
625,182560647-Unable to Locate Complainant,182560647,2018-09-13 08:06:13,"3740 N SHERMAN BL,MKE",7,ACC PDO,Unable to Locate Complainant,"3740 N SHERMAN BL,MILWAUKEE","{'lat': 43.085209, 'lng': -87.966538}",
626,182560652-Service in Progress,182560652,2018-09-13 08:06:05,"2333 N 49TH ST,MKE",3,REPORTS,Service in Progress,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
627,182560646-Assignment Completed,182560646,2018-09-13 08:04:27,"2920 N 4TH ST,MKE",5,SPECIAL ASSIGN,Assignment Completed,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
628,182560660-Assignment Completed,182560660,2018-09-13 08:14:28,"N 10TH ST / W WELLS ST,MKE",1,ACC UNKN INJ,Assignment Completed,"N 10TH ST & W WELLS ST,MILWAUKEE","{'lat': 43.04022, 'lng': -87.924404}",
629,182560662-Advised,182560662,2018-09-13 08:13:52,"1813 W HAMPTON AV,MKE",7,TRAFFIC STOP,Advised,"1813 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
630,182560649-Service in Progress,182560649,2018-09-13 08:13:23,"152 E GAUER CR,MKE",6,ENTRY,Service in Progress,"152 E GAUER CR,MILWAUKEE","{'lat': 42.989719, 'lng': -87.908473}",
631,182560609-Service in Progress,182560609,2018-09-13 08:12:48,"W KINNICKINNIC RIVER PK / S 32ND ST,MKE",6,BATTERY,Service in Progress,"W KINNICKINNIC RIVER PK & S 32ND ST,MILWAUKEE","{'lat': 42.982774, 'lng': -87.880566}",
632,182560596-Assignment Completed,182560596,2018-09-13 08:11:40,"6929 W SILVER SPRING DR,MKE",4,CITIZEN CONVEY,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
633,182560634-Service in Progress,182560634,2018-09-13 08:11:07,"5942 N LOVERS LANE RD,MKE",4,ACC PDO,Service in Progress,"5942 N LOVERS LANE RD,MILWAUKEE","{'lat': 43.125617, 'lng': -88.055102}",
634,182560651-Service in Progress,182560651,2018-09-13 08:10:06,"10504 W CALUMET RD,MKE",4,WELFARE CITIZEN,Service in Progress,"10504 W CALUMET RD,MILWAUKEE","{'lat': 43.155978, 'lng': -88.042342}",
635,182560574-Assignment Completed,182560574,2018-09-13 07:24:41,"8500 N SERVITE DR,MKE",4,PATROL,Assignment Completed,"8500 N SERVITE DR,MILWAUKEE","{'lat': 43.172931, 'lng': -88.008133}",
636,182560669-Service in Progress,182560669,2018-09-13 08:19:38,"3860 S HOWELL AV,MKE",6,POLICE ADMIN,Service in Progress,"3860 S HOWELL AV,MILWAUKEE","{'lat': 42.974429, 'lng': -87.908901}",
637,182560663-Service in Progress,182560663,2018-09-13 08:16:41,"S 70TH ST / W KEARNEY ST,MKE",3,ACC UNKN INJ,Service in Progress,"S 70TH ST & W KEARNEY ST,MILWAUKEE","{'lat': 43.029544, 'lng': -87.999761}",
638,182560567-Service in Progress,182560567,2018-09-13 08:16:12,"1333 S LAYTON BL,MKE",2,BATTERY DV,Service in Progress,"1333 S LAYTBL,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
639,182560634-Advised/Referral,182560634,2018-09-13 08:11:07,"5942 N LOVERS LANE RD,MKE",4,ACC PDO,Advised/Referral,"5942 N LOVERS LANE RD,MILWAUKEE","{'lat': 43.125617, 'lng': -88.055102}",
640,182560652-Assignment Completed,182560652,2018-09-13 08:06:05,"2333 N 49TH ST,MKE",3,REPORTS,Assignment Completed,"2333 N 49TH ST,MILWAUKEE","{'lat': 43.061433, 'lng': -87.975516}",
641,182560684-Service in Progress,182560684,2018-09-13 08:24:26,"6680 N TEUTONIA AV,MKE",4,POLICE ADMIN,Service in Progress,"6680 N TEUTONIA AV,MILWAUKEE","{'lat': 43.139111, 'lng': -87.952424}",
642,182560671-Service in Progress,182560671,2018-09-13 08:23:39,"N PROSPECT AV / E JUNEAU AV,MKE",1,ENTRY AUTOS,Service in Progress,"N PROSPECT AVE & E JUNEAU AV,MILWAUKEE","{'lat': 43.045679, 'lng': -87.897561}",
643,182560678-Assignment Completed,182560678,2018-09-13 08:22:27,"4965 S 20TH ST,MKE",6,FOLLOW UP,Assignment Completed,"4965 S 20TH ST,MILWAUKEE","{'lat': 42.953666, 'lng': -87.940685}",
644,182560618-Unable to Locate Complainant,182560618,2018-09-13 08:21:38,"S 23RD ST / W NATIONAL AV,MKE",2,SOLICITING,Unable to Locate Complainant,"S 23RD ST & W NATIONAL AV,MILWAUKEE","{'lat': 43.022512, 'lng': -87.942239}",
645,182560675-Assignment Completed,182560675,2018-09-13 08:21:24,"W TOWNSEND ST / W FOND DU LAC AV,MKE",7,TRAFFIC HAZARD,Assignment Completed,"W TOWNSEND ST & W FOND DU LAC AV,MILWAUKEE","{'lat': 43.081106, 'lng': -87.96497}",
646,182560674-Service in Progress,182560674,2018-09-13 08:21:21,"3410 N MARYLAND AV,MKE",1,FOLLOW UP,Service in Progress,"3410 N MARYLAND AV,MILWAUKEE","{'lat': 43.079561, 'lng': -87.882648}",
647,182560672-Service in Progress,182560672,2018-09-13 08:21:14,"N 47TH ST / W GARFIELD AV,MKE",3,LOOSE ANIMAL,Service in Progress,"N 47TH ST & W GARFIELD AV,MILWAUKEE","{'lat': 43.05926, 'lng': -87.972427}",
648,182560645-Service in Progress,182560645,2018-09-13 08:21:09,"S 9TH ST / W BURNHAM ST,MKE",2,WELFARE CITIZEN,Service in Progress,"S 9TH ST & W BURNHAM ST,MILWAUKEE","{'lat': 43.010162, 'lng': -87.922777}",
649,182560666-Service in Progress,182560666,2018-09-13 08:20:19,"2766 N 35TH ST,MKE",7,PROPERTY DAM-DV,Service in Progress,"2766 N 35TH ST,MILWAUKEE","{'lat': 43.069384, 'lng': -87.956968}",
650,182560660-To be Filed,182560660,2018-09-13 08:14:28,"N 10TH ST / W WELLS ST,MKE",1,ACC UNKN INJ,To be Filed,"N 10TH ST & W WELLS ST,MILWAUKEE","{'lat': 43.04022, 'lng': -87.924404}",
651,182560609-Unable to Locate Complainant,182560609,2018-09-13 08:12:48,"W KINNICKINNIC RIVER PK / S 32ND ST,MKE",6,BATTERY,Unable to Locate Complainant,"W KINNICKINNIC RIVER PK & S 32ND ST,MILWAUKEE","{'lat': 42.982774, 'lng': -87.880566}",
652,182560579-Advised,182560579,2018-09-13 08:08:51,"2669 N 44TH ST,MKE",3,FAMILY TROUBL-DV,Advised,"2669 N 44TH ST,MILWAUKEE","{'lat': 43.067532, 'lng': -87.969039}",
653,182560496-Unable to Locate Complainant,182560496,2018-09-13 08:08:16,"2841 W HIGHLAND BL,MKE",3,TRBL W/JUV,Unable to Locate Complainant,"2841 W HIGHLAND BL,MILWAUKEE","{'lat': 43.044152, 'lng': -87.950158}",
654,182560693-City Citation(s) Issued,182560693,2018-09-13 08:28:32,"8714 W CAPITOL DR,MKE",7,TRAFFIC STOP,City Citation(s) Issued,"8714 W CAPITOL DR,MILWAUKEE","{'lat': 43.090074, 'lng': -88.02186}",
655,182560692-Service in Progress,182560692,2018-09-13 08:27:23,"8110 W BROWN DEER RD,MKE",4,FOLLOW UP,Service in Progress,"8110 W BROWN DEER RD,MILWAUKEE","{'lat': 43.180918, 'lng': -88.011552}",
656,182560690-Assignment Completed,182560690,2018-09-13 08:26:29,"6929 W SILVER SPRING DR,MKE",4,REPORTS,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
657,182560689-Advised,182560689,2018-09-13 08:26:10,"1975 W HAMPTON AV,MKE",7,TRAFFIC STOP,Advised,"1975 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
658,182560681-Assignment Completed,182560681,2018-09-13 08:25:43,"N 60TH ST / W CARMEN AV,MKE",4,THEFT VEHICLE,Assignment Completed,"N 60TH ST & W CARMEN AV,MILWAUKEE","{'lat': 43.122529, 'lng': -87.986021}",
659,182560679-Service in Progress,182560679,2018-09-13 08:25:40,"1333 N FRANKLIN PL,MKE",1,ENTRY AUTOS,Service in Progress,"1333 N FRANKLIN PL,MILWAUKEE","{'lat': 43.047665, 'lng': -87.897312}",
660,182560687-Service in Progress,182560687,2018-09-13 08:25:22,"8914 N 96TH ST,MKE",4,SUBJ WANTED,Service in Progress,"8914 N 96TH ST,MILWAUKEE","{'lat': 43.1803, 'lng': -88.031042}",
661,182560686-City Citation(s) Issued,182560686,2018-09-13 08:25:21,"8500 N SERVITE DR,MKE",4,TRAFFIC STOP,City Citation(s) Issued,"8500 N SERVITE DR,MILWAUKEE","{'lat': 43.172931, 'lng': -88.008133}",
662,182560685-Service in Progress,182560685,2018-09-13 08:25:15,"901 N 9TH ST,MKE",1,COURT DUTY,Service in Progress,"901 N 9TH ST,MILWAUKEE","{'lat': 43.041733, 'lng': -87.923662}",
663,182560704-Cleared by Arrest,182560704,2018-09-13 08:34:58,"6929 W SILVER SPRING DR,MKE",4,SUBJ WANTED,Cleared by Arrest,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
664,182560700-Service in Progress,182560700,2018-09-13 08:32:34,"N 11TH ST / W HIGHLAND AV,MKE",1,SPECIAL ASSIGN,Service in Progress,"N 11TH ST & W HIGHLAND AV,MILWAUKEE","{'lat': 43.044378, 'lng': -87.925575}",
665,182560699-Service in Progress,182560699,2018-09-13 08:31:32,"749 W STATE ST,MKE",1,POLICE ADMIN,Service in Progress,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
666,182560698-Service in Progress,182560698,2018-09-13 08:30:44,"6929 W SILVER SPRING DR,MKE",4,PRISONER TRANS,Service in Progress,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
667,182560697-City Citation(s) Issued,182560697,2018-09-13 08:30:28,"4679 N 39TH ST,MKE",7,TS TARGETED,City Citation(s) Issued,"4679 N 39TH ST,MILWAUKEE","{'lat': 43.10241, 'lng': -87.961796}",
668,182560696-Assignment Completed,182560696,2018-09-13 08:30:25,"1533 N 23RD ST,MKE",3,FIRE,Assignment Completed,"1533 N 23RD ST,MILWAUKEE","{'lat': 43.050814, 'lng': -87.941751}",
669,182560692-Assignment Completed,182560692,2018-09-13 08:27:23,"8110 W BROWN DEER RD,MKE",4,FOLLOW UP,Assignment Completed,"8110 W BROWN DEER RD,MILWAUKEE","{'lat': 43.180918, 'lng': -88.011552}",
670,182560717-Service in Progress,182560717,2018-09-13 08:39:01,"2249 N 41ST ST,MKE",3,SUBJ WANTED,Service in Progress,"2249 N 41ST ST,MILWAUKEE","{'lat': 43.059916, 'lng': -87.964807}",
671,182560713-Advised,182560713,2018-09-13 08:37:42,"1834 W HAMPTON AV,MKE",7,TRAFFIC STOP,Advised,"1834 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
672,182560712-Service in Progress,182560712,2018-09-13 08:37:05,SPD,SPD,RETURN STATION,Service in Progress,"SPD, MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
673,182560711-Service in Progress,182560711,2018-09-13 08:36:01,"2920 N 4TH ST,MKE",5,POLICE ADMIN,Service in Progress,"2920 N 4TH ST,MILWAUKEE","{'lat': 43.071738, 'lng': -87.914995}",
674,182560639-Service in Progress,182560639,2018-09-13 08:35:14,"522 E LOCUST ST,MKE",5,TRBL W/SUBJ,Service in Progress,"522 E LOCUST ST,MILWAUKEE","{'lat': 43.071317, 'lng': -87.904443}",
675,182560699-Assignment Completed,182560699,2018-09-13 08:31:32,"749 W STATE ST,MKE",1,POLICE ADMIN,Assignment Completed,"749 W STATE ST,MILWAUKEE","{'lat': 43.042662, 'lng': -87.920879}",
676,182560602-To be Filed,182560602,2018-09-13 07:42:38,"9901 W HAMPTON AV,MKE",4,ACC UNKN INJ,To be Filed,"9901 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
677,182560725-Service in Progress,182560725,2018-09-13 08:43:50,"200 E WELLS ST,MKE",1,SPECIAL ASSIGN,Service in Progress,"200 E WELLS ST,MILWAUKEE","{'lat': 43.041141, 'lng': -87.909711}",
678,182560724-Service in Progress,182560724,2018-09-13 08:43:39,"S 9TH ST / W GREENFIELD AV,MKE",2,INVESTIGATION,Service in Progress,"S 9TH ST & W GREENFIELD AV,MILWAUKEE","{'lat': 43.01704, 'lng': -87.922524}",
679,182560721-Advised,182560721,2018-09-13 08:43:31,"2816 W CLARKE ST,MKE",3,FAMILY TROUBLE,Advised,"2816 W CLARKE ST,MILWAUKEE","{'lat': 43.066962, 'lng': -87.949185}",
680,182560723-Service in Progress,182560723,2018-09-13 08:42:01,"6929 W SILVER SPRING DR,MKE",4,REPORTS,Service in Progress,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
681,182560718-Unable to Locate Complainant,182560718,2018-09-13 08:41:19,"6962 N 77TH CT,MKE",4,SUSP PERS/AUTO,Unable to Locate Complainant,"6962 N 77TH CT,MILWAUKEE",,"{'input': {'address_components': {'number': '6962', 'city': 'Milwaukee', 'state': 'CT', 'country': 'US'}, 'formatted_address': '6962, Milwaukee, CT'}, 'results': []}"
682,182560719-Service in Progress,182560719,2018-09-13 08:41:07,"1320 N 38TH ST,MKE",3,INJ PERSON/SICK,Service in Progress,"1320 N 38TH ST,MILWAUKEE","{'lat': 43.047598, 'lng': -87.960753}",
683,182560736-Service in Progress,182560736,2018-09-13 08:49:51,"3216 N MARTIN L KING JR DR,MKE",5,TS TARGETED,Service in Progress,"3216 N DOCTOR M.L.K. DR,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
684,182560731-Service in Progress,182560731,2018-09-13 08:48:55,"2802 W HOWARD AV,MKE",6,SUSP PERS/AUTO,Service in Progress,"2802 W HOWARD AV,MILWAUKEE","{'lat': 42.974553, 'lng': -87.950685}",
685,182560729-Service in Progress,182560729,2018-09-13 08:45:36,"8424 W FLORIST AV,MKE",4,ASSIGNMENT,Service in Progress,"8424 W FLORIST AV,MILWAUKEE","{'lat': 43.127186, 'lng': -88.017247}",
686,182560728-Advised,182560728,2018-09-13 08:45:16,"5601 N LOVERS LANE RD,MKE",4,TRAFFIC STOP,Advised,"5601 N LOVERS LANE RD,MILWAUKEE","{'lat': 43.119914, 'lng': -88.056184}",
687,182560743-Service in Progress,182560743,2018-09-13 08:53:40,"1542 S 15TH PL,MKE",2,SEARCH WARRANT,Service in Progress,"1542 S 15TH PL,MILWAUKEE","{'lat': 43.01503, 'lng': -87.931541}",
688,182560741-Service in Progress,182560741,2018-09-13 08:52:50,"2672 N 29TH ST,MKE",3,INVESTIGATION,Service in Progress,"2672 N 29TH ST,MILWAUKEE","{'lat': 43.06741, 'lng': -87.949735}",
689,182560732-Service in Progress,182560732,2018-09-13 08:52:48,"1132 S 12TH ST,MKE",2,TRBL W/SUBJ-DV,Service in Progress,"1132 S 12TH ST,MILWAUKEE","{'lat': 43.003841, 'lng': -87.927093}",
690,182560739-Assignment Completed,182560739,2018-09-13 08:51:39,"6929 W SILVER SPRING DR,MKE",4,RETURN STATION,Assignment Completed,"6929 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.118893, 'lng': -87.998216}",
691,182560735-Unable to Locate Complainant,182560735,2018-09-13 08:51:27,"2047 N 11TH ST,MKE",3,WELFARE CITIZEN,Unable to Locate Complainant,"2047 N 11TH ST,MILWAUKEE","{'lat': 43.057157, 'lng': -87.925724}",
692,182560737-Advised,182560737,2018-09-13 08:50:38,"1729 W HAMPTON AV,MKE",7,TRAFFIC STOP,Advised,"1729 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
693,182560736-City Citation(s) Issued,182560736,2018-09-13 08:49:51,"3216 N MARTIN L KING JR DR,MKE",5,TS TARGETED,City Citation(s) Issued,"3216 N DOCTOR M.L.K. DR,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
694,182560674-Assignment Completed,182560674,2018-09-13 08:21:21,"3410 N MARYLAND AV,MKE",1,FOLLOW UP,Assignment Completed,"3410 N MARYLAND AV,MILWAUKEE","{'lat': 43.079561, 'lng': -87.882648}",
695,182560567-Assignment Completed,182560567,2018-09-13 08:16:12,"1333 S LAYTON BL,MKE",2,BATTERY DV,Assignment Completed,"1333 S LAYTBL,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}",
696,182560760-Service in Progress,182560760,2018-09-13 08:59:45,"3100 S 20TH ST,MKE",6,SPECIAL ASSIGN,Service in Progress,"3100 S 20TH ST,MILWAUKEE","{'lat': 42.988549, 'lng': -87.938504}",
697,182560758-Service in Progress,182560758,2018-09-13 08:58:51,"700 W VIRGINIA ST,MKE",2,COMMUNITY MTNG,Service in Progress,"700 W VIRGINIA ST,MILWAUKEE","{'lat': 43.026816, 'lng': -87.919933}",
698,182560755-Service in Progress,182560755,2018-09-13 08:58:04,"3100 S 26TH ST,MKE",6,SPECIAL ASSIGN,Service in Progress,"3100 S 26TH ST,MILWAUKEE","{'lat': 42.988696, 'lng': -87.947083}",
